

This is the final analysis:
The best mean reward is 252.65887375236824 after episode 20029

Statistics for episode 5000
                                a/reward:  -15.24 (mean),   23.98 (median),  147.23 (std), -961.18 (min),  155.53 (max)
              actions/price_new/vendor_0:    3.48 (mean),    3.50 (median),    0.38 (std),    2.39 (min),    4.18 (max)
              actions/price_new/vendor_1:    4.00 (mean),    4.00 (median),    0.00 (std),    4.00 (min),    4.00 (max)
              actions/price_new/vendor_2:    8.61 (mean),    8.66 (median),    0.26 (std),    7.86 (min),    8.90 (max)
              actions/price_new/vendor_3:    5.96 (mean),    5.96 (median),    0.00 (std),    5.96 (min),    5.96 (max)
              actions/price_new/vendor_4:    4.04 (mean),    4.03 (median),    0.04 (std),    4.00 (min),    4.16 (max)
            actions/price_rebuy/vendor_0:    0.28 (mean),    0.25 (median),    0.17 (std),    0.01 (min),    0.83 (max)
            actions/price_rebuy/vendor_1:    0.95 (mean),    0.94 (median),    0.29 (std),    0.16 (min),    1.74 (max)
            actions/price_rebuy/vendor_2:    0.34 (mean),    0.26 (median),    0.32 (std),    0.02 (min),    1.60 (max)
            actions/price_rebuy/vendor_3:    1.98 (mean),    1.98 (median),    0.00 (std),    1.98 (min),    1.98 (max)
            actions/price_rebuy/vendor_4:    0.74 (mean),    0.74 (median),    0.25 (std),    0.08 (min),    1.53 (max)
      actions/price_refurbished/vendor_0:    2.53 (mean),    2.54 (median),    0.27 (std),    1.90 (min),    3.16 (max)
      actions/price_refurbished/vendor_1:    1.89 (mean),    1.87 (median),    0.23 (std),    1.36 (min),    2.60 (max)
      actions/price_refurbished/vendor_2:    2.34 (mean),    2.26 (median),    0.31 (std),    2.02 (min),    3.50 (max)
      actions/price_refurbished/vendor_3:    3.00 (mean),    3.00 (median),    0.00 (std),    3.00 (min),    3.00 (max)
      actions/price_refurbished/vendor_4:    3.17 (mean),    3.12 (median),    0.62 (std),    1.86 (min),    5.28 (max)
                    customer/buy_nothing:   48.09 (mean),   48.00 (median),    7.04 (std),   30.00 (min),   72.00 (max)
         customer/purchases_new/vendor_0:  178.85 (mean),  172.00 (median),   40.91 (std),  101.00 (min),  312.00 (max)
         customer/purchases_new/vendor_1:  123.82 (mean),  124.00 (median),   12.86 (std),   87.00 (min),  161.00 (max)
         customer/purchases_new/vendor_2:    4.54 (mean),    4.00 (median),    3.85 (std),    0.00 (min),   21.00 (max)
         customer/purchases_new/vendor_3:   51.56 (mean),   51.00 (median),    7.50 (std),   31.00 (min),   73.00 (max)
         customer/purchases_new/vendor_4:  121.89 (mean),  121.00 (median),   11.81 (std),   90.00 (min),  162.00 (max)
 customer/purchases_refurbished/vendor_0:   74.80 (mean),   75.00 (median),   18.84 (std),   27.00 (min),  129.00 (max)
 customer/purchases_refurbished/vendor_1:  130.95 (mean),  131.00 (median),   20.81 (std),   66.00 (min),  180.00 (max)
 customer/purchases_refurbished/vendor_2:   82.15 (mean),   82.50 (median),   12.32 (std),   44.00 (min),  115.00 (max)
 customer/purchases_refurbished/vendor_3:   48.17 (mean),   48.00 (median),    7.12 (std),   21.00 (min),   68.00 (max)
 customer/purchases_refurbished/vendor_4:  131.77 (mean),  132.00 (median),   21.40 (std),   63.00 (min),  186.00 (max)
                   owner/rebuys/vendor_0:   41.13 (mean),   41.00 (median),   12.21 (std),   16.00 (min),   87.00 (max)
                   owner/rebuys/vendor_1:   88.28 (mean),   87.00 (median),   21.68 (std),   34.00 (min),  144.00 (max)
                   owner/rebuys/vendor_2:   48.41 (mean),   47.00 (median),   16.49 (std),   14.00 (min),   99.00 (max)
                   owner/rebuys/vendor_3:  204.80 (mean),  202.00 (median),   61.87 (std),   86.00 (min),  354.00 (max)
                   owner/rebuys/vendor_4:   89.69 (mean),   89.00 (median),   22.72 (std),   23.00 (min),  148.00 (max)
                        owner/throw_away:    5.39 (mean),    5.00 (median),    2.59 (std),    0.00 (min),   15.00 (max)
                    profits/all/vendor_0:  -15.24 (mean),   23.98 (median),  147.23 (std), -961.18 (min),  155.53 (max)
                    profits/all/vendor_1:   87.32 (mean),   96.76 (median),   47.87 (std), -246.40 (min),  179.06 (max)
                    profits/all/vendor_2:  -26.48 (mean),   -4.20 (median),   65.88 (std), -258.40 (min),   74.20 (max)
                    profits/all/vendor_3: -548.63 (mean), -570.80 (median),  183.15 (std), -898.70 (min),   46.00 (max)
                    profits/all/vendor_4:   -1.77 (mean),    9.98 (median),   67.20 (std), -403.36 (min),  143.00 (max)
         profits/by_selling_new/vendor_0:   37.56 (mean),   56.09 (median),   74.02 (std), -314.91 (min),  135.59 (max)
         profits/by_selling_new/vendor_1:  123.82 (mean),  124.00 (median),   12.86 (std),   87.00 (min),  161.00 (max)
         profits/by_selling_new/vendor_2:   15.71 (mean),   12.50 (median),   15.35 (std),    0.00 (min),   84.00 (max)
         profits/by_selling_new/vendor_3:  152.25 (mean),  151.00 (median),   22.34 (std),   93.00 (min),  219.00 (max)
         profits/by_selling_new/vendor_4:  126.42 (mean),  125.86 (median),   12.57 (std),   90.00 (min),  174.74 (max)
 profits/by_selling_refurbished/vendor_0:  122.31 (mean),  159.33 (median),  139.13 (std), -805.51 (min),  234.41 (max)
 profits/by_selling_refurbished/vendor_1:  174.75 (mean),  187.42 (median),   51.48 (std), -225.85 (min),  259.32 (max)
 profits/by_selling_refurbished/vendor_2:  170.95 (mean),  172.00 (median),   22.11 (std),  106.00 (min),  230.00 (max)
 profits/by_selling_refurbished/vendor_3:  143.95 (mean),  144.00 (median),   22.16 (std),   50.00 (min),  204.00 (max)
 profits/by_selling_refurbished/vendor_4:  149.17 (mean),  158.00 (median),   45.39 (std), -155.00 (min),  217.00 (max)
             profits/rebuy_cost/vendor_0:  -25.05 (mean),  -21.84 (median),   17.90 (std), -110.00 (min),   -0.18 (max)
             profits/rebuy_cost/vendor_1: -136.77 (mean), -133.38 (median),   42.65 (std), -236.25 (min),  -20.25 (max)
             profits/rebuy_cost/vendor_2:  -50.06 (mean),  -43.50 (median),   45.13 (std), -201.00 (min),    0.00 (max)
             profits/rebuy_cost/vendor_3: -408.16 (mean), -403.00 (median),  122.86 (std), -708.00 (min), -172.00 (max)
             profits/rebuy_cost/vendor_4: -195.54 (mean), -197.55 (median),   63.39 (std), -381.00 (min),  -23.00 (max)
           profits/storage_cost/vendor_0: -150.06 (mean), -133.85 (median),   97.62 (std), -407.00 (min),   -3.60 (max)
           profits/storage_cost/vendor_1:  -74.48 (mean),  -57.20 (median),   48.01 (std), -269.90 (min),  -16.80 (max)
           profits/storage_cost/vendor_2: -163.08 (mean), -133.45 (median),   94.04 (std), -413.40 (min),  -55.40 (max)
           profits/storage_cost/vendor_3: -436.67 (mean), -464.10 (median),   79.12 (std), -499.70 (min),  -68.00 (max)
           profits/storage_cost/vendor_4:  -81.83 (mean),  -67.65 (median),   44.31 (std), -239.10 (min),  -30.70 (max)
                    state/in_circulation:  251.69 (mean),  264.64 (median),   58.33 (std),  146.72 (min),  345.64 (max)
               state/in_storage/vendor_0:   30.69 (mean),   27.24 (median),   19.84 (std),    0.70 (min),   82.40 (max)
               state/in_storage/vendor_1:   15.75 (mean),   12.27 (median),   10.14 (std),    3.34 (min),   55.78 (max)
               state/in_storage/vendor_2:   33.29 (mean),   27.54 (median),   19.19 (std),   10.80 (min),   83.52 (max)
               state/in_storage/vendor_3:   86.34 (mean),   91.83 (median),   16.09 (std),   12.84 (min),   99.82 (max)
               state/in_storage/vendor_4:   17.21 (mean),   14.52 (median),    9.39 (std),    5.98 (min),   49.56 (max)

Statistics for episode 10000
                                a/reward:  215.65 (mean),  227.22 (median),   69.01 (std),  -89.10 (min),  350.55 (max)
              actions/price_new/vendor_0:    4.94 (mean),    5.00 (median),    0.26 (std),    3.90 (min),    5.37 (max)
              actions/price_new/vendor_1:    4.00 (mean),    4.00 (median),    0.00 (std),    4.00 (min),    4.01 (max)
              actions/price_new/vendor_2:    8.49 (mean),    8.50 (median),    0.29 (std),    7.62 (min),    8.90 (max)
              actions/price_new/vendor_3:    5.96 (mean),    5.96 (median),    0.00 (std),    5.96 (min),    5.96 (max)
              actions/price_new/vendor_4:    4.47 (mean),    4.49 (median),    0.10 (std),    4.15 (min),    4.68 (max)
            actions/price_rebuy/vendor_0:    0.13 (mean),    0.09 (median),    0.13 (std),    0.00 (min),    0.68 (max)
            actions/price_rebuy/vendor_1:    1.08 (mean),    1.09 (median),    0.26 (std),    0.36 (min),    1.77 (max)
            actions/price_rebuy/vendor_2:    0.50 (mean),    0.47 (median),    0.36 (std),    0.02 (min),    1.68 (max)
            actions/price_rebuy/vendor_3:    1.98 (mean),    1.98 (median),    0.00 (std),    1.98 (min),    1.98 (max)
            actions/price_rebuy/vendor_4:    0.78 (mean),    0.80 (median),    0.28 (std),    0.09 (min),    1.66 (max)
      actions/price_refurbished/vendor_0:    2.94 (mean),    2.92 (median),    0.52 (std),    1.78 (min),    4.16 (max)
      actions/price_refurbished/vendor_1:    2.13 (mean),    2.11 (median),    0.27 (std),    1.45 (min),    2.97 (max)
      actions/price_refurbished/vendor_2:    2.50 (mean),    2.47 (median),    0.35 (std),    2.02 (min),    3.64 (max)
      actions/price_refurbished/vendor_3:    3.00 (mean),    3.00 (median),    0.00 (std),    3.00 (min),    3.00 (max)
      actions/price_refurbished/vendor_4:    3.19 (mean),    3.16 (median),    0.61 (std),    1.98 (min),    5.46 (max)
                    customer/buy_nothing:   58.78 (mean),   59.00 (median),    8.66 (std),   34.00 (min),   90.00 (max)
         customer/purchases_new/vendor_0:  104.93 (mean),  103.00 (median),   18.79 (std),   60.00 (min),  197.00 (max)
         customer/purchases_new/vendor_1:  151.21 (mean),  151.00 (median),   14.48 (std),  106.00 (min),  195.00 (max)
         customer/purchases_new/vendor_2:    7.65 (mean),    7.00 (median),    5.34 (std),    0.00 (min),   28.00 (max)
         customer/purchases_new/vendor_3:   63.42 (mean),   63.00 (median),    8.63 (std),   33.00 (min),   88.00 (max)
         customer/purchases_new/vendor_4:  124.37 (mean),  124.00 (median),   15.13 (std),   83.00 (min),  170.00 (max)
 customer/purchases_refurbished/vendor_0:   68.20 (mean),   67.50 (median),   24.12 (std),   20.00 (min),  131.00 (max)
 customer/purchases_refurbished/vendor_1:  134.64 (mean),  135.50 (median),   22.67 (std),   73.00 (min),  188.00 (max)
 customer/purchases_refurbished/vendor_2:   91.92 (mean),   93.00 (median),   14.18 (std),   51.00 (min),  130.00 (max)
 customer/purchases_refurbished/vendor_3:   58.81 (mean),   58.00 (median),    8.89 (std),   34.00 (min),   85.00 (max)
 customer/purchases_refurbished/vendor_4:  133.25 (mean),  134.00 (median),   21.38 (std),   63.00 (min),  183.00 (max)
                   owner/rebuys/vendor_0:   30.26 (mean),   30.00 (median),    9.42 (std),    8.00 (min),   63.00 (max)
                   owner/rebuys/vendor_1:   91.41 (mean),   90.00 (median),   21.19 (std),   42.00 (min),  149.00 (max)
                   owner/rebuys/vendor_2:   54.86 (mean),   54.00 (median),   17.83 (std),   16.00 (min),  114.00 (max)
                   owner/rebuys/vendor_3:  189.91 (mean),  191.00 (median),   58.78 (std),   78.00 (min),  319.00 (max)
                   owner/rebuys/vendor_4:   91.73 (mean),   91.00 (median),   23.84 (std),   25.00 (min),  158.00 (max)
                        owner/throw_away:    5.99 (mean),    6.00 (median),    2.73 (std),    0.00 (min),   15.00 (max)
                    profits/all/vendor_0:  215.65 (mean),  227.22 (median),   69.01 (std),  -89.10 (min),  350.55 (max)
                    profits/all/vendor_1:  110.31 (mean),  120.37 (median),   60.18 (std), -235.39 (min),  217.81 (max)
                    profits/all/vendor_2:    3.84 (mean),   15.20 (median),   50.95 (std), -212.40 (min),  115.20 (max)
                    profits/all/vendor_3: -441.38 (mean), -471.85 (median),  202.20 (std), -824.90 (min),  106.80 (max)
                    profits/all/vendor_4:   43.78 (mean),   46.64 (median),   70.80 (std), -223.35 (min),  213.10 (max)
         profits/by_selling_new/vendor_0:  190.78 (mean),  191.31 (median),   28.05 (std),    5.67 (min),  274.66 (max)
         profits/by_selling_new/vendor_1:  151.23 (mean),  151.00 (median),   14.48 (std),  106.00 (min),  195.00 (max)
         profits/by_selling_new/vendor_2:   28.17 (mean),   24.00 (median),   21.00 (std),    0.00 (min),  106.00 (max)
         profits/by_selling_new/vendor_3:  187.46 (mean),  187.00 (median),   25.84 (std),   99.00 (min),  262.00 (max)
         profits/by_selling_new/vendor_4:  182.09 (mean),  182.27 (median),   20.13 (std),  123.97 (min),  238.45 (max)
 profits/by_selling_refurbished/vendor_0:  164.05 (mean),  169.98 (median),   50.05 (std), -229.93 (min),  260.18 (max)
 profits/by_selling_refurbished/vendor_1:  173.62 (mean),  191.43 (median),   67.26 (std), -233.24 (min),  272.08 (max)
 profits/by_selling_refurbished/vendor_2:  195.86 (mean),  196.50 (median),   24.14 (std),  125.00 (min),  268.00 (max)
 profits/by_selling_refurbished/vendor_3:  175.12 (mean),  174.00 (median),   30.42 (std),  -71.00 (min),  255.00 (max)
