

This is the final analysis:
The best mean reward is 252.15700151594578 after episode 20000

Statistics for episode 5000
                                a/reward:  114.54 (mean),  136.91 (median),   94.39 (std), -501.49 (min),  257.12 (max)
              actions/price_new/vendor_0:    4.30 (mean),    4.36 (median),    0.41 (std),    3.00 (min),    4.97 (max)
              actions/price_new/vendor_1:    4.00 (mean),    4.00 (median),    0.00 (std),    4.00 (min),    4.00 (max)
              actions/price_new/vendor_2:    8.53 (mean),    8.54 (median),    0.28 (std),    7.76 (min),    8.90 (max)
              actions/price_new/vendor_3:    5.96 (mean),    5.96 (median),    0.00 (std),    5.96 (min),    5.96 (max)
              actions/price_new/vendor_4:    4.23 (mean),    4.23 (median),    0.12 (std),    4.01 (min),    4.48 (max)
            actions/price_rebuy/vendor_0:    0.36 (mean),    0.33 (median),    0.24 (std),    0.01 (min),    1.04 (max)
            actions/price_rebuy/vendor_1:    1.05 (mean),    1.03 (median),    0.26 (std),    0.43 (min),    1.77 (max)
            actions/price_rebuy/vendor_2:    0.45 (mean),    0.40 (median),    0.34 (std),    0.02 (min),    1.72 (max)
            actions/price_rebuy/vendor_3:    1.98 (mean),    1.98 (median),    0.00 (std),    1.98 (min),    1.98 (max)
            actions/price_rebuy/vendor_4:    0.79 (mean),    0.78 (median),    0.26 (std),    0.15 (min),    1.56 (max)
      actions/price_refurbished/vendor_0:    2.68 (mean),    2.71 (median),    0.28 (std),    2.12 (min),    3.33 (max)
      actions/price_refurbished/vendor_1:    2.04 (mean),    2.00 (median),    0.23 (std),    1.51 (min),    2.80 (max)
      actions/price_refurbished/vendor_2:    2.45 (mean),    2.40 (median),    0.34 (std),    2.02 (min),    3.54 (max)
      actions/price_refurbished/vendor_3:    3.00 (mean),    3.00 (median),    0.00 (std),    3.00 (min),    3.00 (max)
      actions/price_refurbished/vendor_4:    3.25 (mean),    3.19 (median),    0.61 (std),    1.86 (min),    5.40 (max)
                    customer/buy_nothing:   54.72 (mean),   54.00 (median),    8.12 (std),   29.00 (min),   80.00 (max)
         customer/purchases_new/vendor_0:  131.45 (mean),  123.00 (median),   30.96 (std),   80.00 (min),  279.00 (max)
         customer/purchases_new/vendor_1:  140.30 (mean),  140.00 (median),   13.86 (std),  104.00 (min),  186.00 (max)
         customer/purchases_new/vendor_2:    6.34 (mean),    6.00 (median),    4.60 (std),    0.00 (min),   23.00 (max)
         customer/purchases_new/vendor_3:   57.89 (mean),   58.00 (median),    7.78 (std),   39.00 (min),   83.00 (max)
         customer/purchases_new/vendor_4:  127.60 (mean),  127.00 (median),   14.54 (std),   86.00 (min),  176.00 (max)
 customer/purchases_refurbished/vendor_0:   72.99 (mean),   73.00 (median),   17.13 (std),   33.00 (min),  118.00 (max)
 customer/purchases_refurbished/vendor_1:  132.87 (mean),  133.50 (median),   20.83 (std),   64.00 (min),  181.00 (max)
 customer/purchases_refurbished/vendor_2:   87.48 (mean),   88.00 (median),   14.22 (std),   43.00 (min),  120.00 (max)
 customer/purchases_refurbished/vendor_3:   54.39 (mean),   54.00 (median),    8.14 (std),   32.00 (min),   78.00 (max)
 customer/purchases_refurbished/vendor_4:  130.82 (mean),  133.00 (median),   23.24 (std),   67.00 (min),  182.00 (max)
                   owner/rebuys/vendor_0:   40.17 (mean),   38.00 (median),   13.72 (std),    9.00 (min),   83.00 (max)
                   owner/rebuys/vendor_1:   87.81 (mean),   86.00 (median),   21.28 (std),   41.00 (min),  149.00 (max)
                   owner/rebuys/vendor_2:   51.11 (mean),   49.00 (median),   17.73 (std),   10.00 (min),  110.00 (max)
