

This is the final analysis:
The best mean reward is 138.7073737742625 after episode 5038

Statistics for episode 1750
                                a/reward: -1056.75 (mean), -993.69 (median),  364.83 (std), -2651.59 (min), -494.22 (max)
              actions/price_new/vendor_0:    1.64 (mean),    1.63 (median),    0.38 (std),    0.69 (min),    2.65 (max)
              actions/price_new/vendor_1:    4.00 (mean),    4.00 (median),    0.00 (std),    4.00 (min),    4.00 (max)
              actions/price_new/vendor_2:    8.85 (mean),    8.90 (median),    0.11 (std),    8.20 (min),    8.90 (max)
              actions/price_new/vendor_3:    5.96 (mean),    5.96 (median),    0.00 (std),    5.96 (min),    5.96 (max)
              actions/price_new/vendor_4:    4.00 (mean),    4.00 (median),    0.00 (std),    4.00 (min),    4.01 (max)
            actions/price_rebuy/vendor_0:    0.67 (mean),    0.67 (median),    0.16 (std),    0.31 (min),    1.15 (max)
            actions/price_rebuy/vendor_1:    0.27 (mean),    0.15 (median),    0.30 (std),    0.02 (min),    1.39 (max)
            actions/price_rebuy/vendor_2:    0.09 (mean),    0.02 (median),    0.16 (std),    0.02 (min),    1.06 (max)
            actions/price_rebuy/vendor_3:    1.98 (mean),    1.98 (median),    0.00 (std),    1.98 (min),    1.98 (max)
            actions/price_rebuy/vendor_4:    0.65 (mean),    0.68 (median),    0.22 (std),    0.02 (min),    1.22 (max)
      actions/price_refurbished/vendor_0:    1.39 (mean),    1.39 (median),    0.21 (std),    0.72 (min),    1.93 (max)
      actions/price_refurbished/vendor_1:    1.35 (mean),    1.33 (median),    0.13 (std),    1.06 (min),    1.89 (max)
      actions/price_refurbished/vendor_2:    2.09 (mean),    2.02 (median),    0.15 (std),    2.02 (min),    2.88 (max)
      actions/price_refurbished/vendor_3:    3.00 (mean),    3.00 (median),    0.00 (std),    3.00 (min),    3.00 (max)
      actions/price_refurbished/vendor_4:    2.61 (mean),    2.62 (median),    0.58 (std),    0.90 (min),    4.28 (max)
                    customer/buy_nothing:   19.50 (mean),   19.00 (median),    7.72 (std),    4.00 (min),   43.00 (max)
         customer/purchases_new/vendor_0:  454.96 (mean),  449.00 (median),   93.19 (std),  239.00 (min),  747.00 (max)
         customer/purchases_new/vendor_1:   50.99 (mean),   50.00 (median),   16.81 (std),    8.00 (min),   96.00 (max)
         customer/purchases_new/vendor_2:    0.78 (mean),    0.00 (median),    1.20 (std),    0.00 (min),   10.00 (max)
         customer/purchases_new/vendor_3:   21.66 (mean),   21.00 (median),    7.78 (std),    4.00 (min),   48.00 (max)
         customer/purchases_new/vendor_4:   51.45 (mean),   50.00 (median),   16.66 (std),   11.00 (min),  102.00 (max)
 customer/purchases_refurbished/vendor_0:  110.91 (mean),  111.00 (median),   23.49 (std),   44.00 (min),  190.00 (max)
 customer/purchases_refurbished/vendor_1:   79.68 (mean),   80.00 (median),   21.37 (std),   29.00 (min),  135.00 (max)
 customer/purchases_refurbished/vendor_2:   38.24 (mean),   38.00 (median),   13.13 (std),    8.00 (min),   83.00 (max)
 customer/purchases_refurbished/vendor_3:   19.96 (mean),   19.00 (median),    7.70 (std),    3.00 (min),   48.00 (max)
 customer/purchases_refurbished/vendor_4:  140.94 (mean),  140.50 (median),   28.71 (std),   51.00 (min),  221.00 (max)
                   owner/rebuys/vendor_0:   83.44 (mean),   81.00 (median),   25.58 (std),   27.00 (min),  176.00 (max)
                   owner/rebuys/vendor_1:   51.40 (mean),   47.00 (median),   20.34 (std),   14.00 (min),  109.00 (max)
                   owner/rebuys/vendor_2:   39.75 (mean),   39.00 (median),   11.34 (std),   14.00 (min),   78.00 (max)
                   owner/rebuys/vendor_3:  254.96 (mean),  251.00 (median),   59.15 (std),  107.00 (min),  410.00 (max)
                   owner/rebuys/vendor_4:   99.86 (mean),   99.00 (median),   24.94 (std),   35.00 (min),  158.00 (max)
                        owner/throw_away:    3.54 (mean),    3.00 (median),    2.15 (std),    0.00 (min),   11.00 (max)
                    profits/all/vendor_0: -1056.75 (mean), -993.69 (median),  364.83 (std), -2651.59 (min), -494.22 (max)
                    profits/all/vendor_1:  -50.52 (mean),   -0.10 (median),  113.99 (std), -428.70 (min),   86.50 (max)
                    profits/all/vendor_2: -173.04 (mean), -140.30 (median),  139.05 (std), -475.30 (min),   16.60 (max)
                    profits/all/vendor_3: -835.42 (mean), -848.60 (median),  156.37 (std), -1218.70 (min), -394.30 (max)
                    profits/all/vendor_4: -331.14 (mean), -325.15 (median),  200.04 (std), -1052.30 (min),    3.50 (max)
         profits/by_selling_new/vendor_0: -862.61 (mean), -826.45 (median),  323.52 (std), -1910.81 (min), -206.32 (max)
         profits/by_selling_new/vendor_1:   50.99 (mean),   50.00 (median),   16.81 (std),    8.00 (min),   96.00 (max)
         profits/by_selling_new/vendor_2:    1.79 (mean),    0.00 (median),    3.94 (std),    0.00 (min),   40.00 (max)
         profits/by_selling_new/vendor_3:   63.50 (mean),   62.00 (median),   22.97 (std),   12.00 (min),  138.00 (max)
         profits/by_selling_new/vendor_4:   51.51 (mean),   50.11 (median),   16.70 (std),   11.00 (min),  102.34 (max)
 profits/by_selling_refurbished/vendor_0:   50.67 (mean),   92.20 (median),  138.98 (std), -966.62 (min),  168.00 (max)
 profits/by_selling_refurbished/vendor_1:   94.90 (mean),   96.18 (median),   29.44 (std),   -7.56 (min),  168.35 (max)
 profits/by_selling_refurbished/vendor_2:   77.03 (mean),   76.00 (median),   26.83 (std),   16.00 (min),  166.00 (max)
 profits/by_selling_refurbished/vendor_3:   59.75 (mean),   57.00 (median),   23.25 (std),    9.00 (min),  144.00 (max)
 profits/by_selling_refurbished/vendor_4: -100.76 (mean),  -83.00 (median),  164.99 (std), -718.00 (min),  164.00 (max)
             profits/rebuy_cost/vendor_0: -100.77 (mean),  -94.88 (median),   44.03 (std), -300.41 (min),  -16.48 (max)
             profits/rebuy_cost/vendor_1:  -35.95 (mean),  -19.75 (median),   42.25 (std), -172.37 (min),    0.00 (max)
             profits/rebuy_cost/vendor_2:  -13.24 (mean),   -1.00 (median),   24.38 (std), -128.00 (min),    0.00 (max)
             profits/rebuy_cost/vendor_3: -508.64 (mean), -500.00 (median),  117.53 (std), -819.00 (min), -214.00 (max)
             profits/rebuy_cost/vendor_4: -203.42 (mean), -201.00 (median),   70.46 (std), -390.00 (min),    0.00 (max)
           profits/storage_cost/vendor_0: -144.04 (mean), -124.40 (median),   79.48 (std), -427.30 (min),  -25.10 (max)
