

This is the final analysis:
The best mean reward is 691.1160135523795 after episode 1500

Statistics for episode 500
                                a/reward:  511.87 (mean),  524.86 (median),   92.29 (std),  129.81 (min),  716.00 (max)
              actions/price_new/vendor_0:    7.59 (mean),    7.60 (median),    0.37 (std),    6.23 (min),    8.53 (max)
              actions/price_new/vendor_1:    6.57 (mean),    6.59 (median),    0.36 (std),    5.27 (min),    7.47 (max)
            actions/price_rebuy/vendor_0:    0.29 (mean),    0.26 (median),    0.10 (std),    0.15 (min),    1.05 (max)
            actions/price_rebuy/vendor_1:    0.68 (mean),    0.72 (median),    0.26 (std),    0.02 (min),    1.44 (max)
      actions/price_refurbished/vendor_0:    5.69 (mean),    5.56 (median),    0.97 (std),    3.96 (min),    9.28 (max)
      actions/price_refurbished/vendor_1:    4.95 (mean),    4.91 (median),    0.64 (std),    3.55 (min),    7.26 (max)
                    customer/buy_nothing:  400.53 (mean),  391.00 (median),   58.83 (std),  271.00 (min),  754.00 (max)
         customer/purchases_new/vendor_0:  126.47 (mean),  125.00 (median),   33.91 (std),   36.00 (min),  257.00 (max)
         customer/purchases_new/vendor_1:  270.11 (mean),  267.00 (median),   52.40 (std),  153.00 (min),  442.00 (max)
 customer/purchases_refurbished/vendor_0:   74.56 (mean),   73.50 (median),   40.66 (std),    0.00 (min),  186.00 (max)
 customer/purchases_refurbished/vendor_1:  122.73 (mean),  121.00 (median),   53.35 (std),    3.00 (min),  264.00 (max)
                   owner/rebuys/vendor_0:   43.38 (mean),   39.00 (median),   21.09 (std),    4.00 (min),  116.00 (max)
                   owner/rebuys/vendor_1:   84.87 (mean),   77.00 (median),   46.90 (std),    2.00 (min),  222.00 (max)
                        owner/throw_away:  305.55 (mean),  283.50 (median),   97.50 (std),  144.00 (min),  759.00 (max)
                    profits/all/vendor_0:  511.87 (mean),  524.86 (median),   92.29 (std),  129.81 (min),  716.00 (max)
                    profits/all/vendor_1:  744.53 (mean),  756.91 (median),  194.13 (std),   96.37 (min), 1148.54 (max)
         profits/by_selling_new/vendor_0:  400.02 (mean),  397.54 (median),   99.66 (std),  144.99 (min),  750.48 (max)
         profits/by_selling_new/vendor_1:  731.65 (mean),  730.31 (median),  124.15 (std),  402.89 (min), 1068.53 (max)
 profits/by_selling_refurbished/vendor_0:  241.11 (mean),  250.26 (median),  112.82 (std),    0.00 (min),  497.42 (max)
 profits/by_selling_refurbished/vendor_1:  206.17 (mean),  227.16 (median),  164.95 (std), -393.26 (min),  518.08 (max)
             profits/rebuy_cost/vendor_0:  -17.85 (mean),  -15.63 (median),   10.19 (std),  -69.05 (min),   -1.56 (max)
             profits/rebuy_cost/vendor_1: -119.07 (mean), -111.07 (median),   69.86 (std), -345.97 (min),    0.00 (max)
           profits/storage_cost/vendor_0: -111.41 (mean), -106.05 (median),   34.11 (std), -219.30 (min),  -11.60 (max)
           profits/storage_cost/vendor_1:  -74.21 (mean),  -51.35 (median),   60.90 (std), -379.10 (min),  -25.30 (max)
                    state/in_circulation:  201.71 (mean),  198.14 (median),   48.76 (std),   88.88 (min),  357.32 (max)
               state/in_storage/vendor_0:   22.91 (mean),   22.07 (median),    7.24 (std),    2.24 (min),   45.56 (max)
